,영화명,관객수,대표국적,개봉year,개봉month,개봉weekday
0,신과함께-인과 연,12274996,한국,2018,08,3
1,어벤져스: 인피니티 워,11211880,미국,2018,04,3
2,보헤미안 랩소디,9224582,미국,2018,10,3
3,미션 임파서블: 폴아웃,6584915,미국,2018,07,3
4,쥬라기 월드: 폴른 킹덤,5661128,미국,2018,06,3
5,앤트맨과 와스프,5447826,미국,2018,07,3
6,안시성,5440186,한국,2018,09,3
7,블랙 팬서,5398994,미국,2018,02,3
8,완벽한 타인,5293435,한국,2018,10,3
9,독전,5063620,한국,2018,05,2
10,공작,4974512,한국,2018,08,3
11,베놈,3888096,미국,2018,10,3
12,암수살인,3789321,한국,2018,10,3
13,데드풀 2,3784602,미국,2018,05,3
14,국가부도의 날,3747952,한국,2018,11,3
15,코코,3510017,미국,2018,01,4
16,아쿠아맨,3491857,미국,2018,12,3
17,그것만이 내 세상,3417629,한국,2018,01,3
18,마녀,3189091,한국,2018,06,3
19,탐정: 리턴즈,3152872,한국,2018,06,3
20,인크레더블 2,3033052,미국,2018,07,3
21,서치,2949944,미국,2018,08,3
22,너의 결혼식,2820969,한국,2018,08,3
23,곤지암,2675559,한국,2018,03,3
24,지금 만나러 갑니다,2602273,한국,2018,03,3
25,목격자,2524333,한국,2018,08,3
26,조선명탐정: 흡혈괴마의 비밀,2444123,한국,2018,02,4
27,신비한 동물들과 그린델왈드의 범죄,2414062,미국,2018,11,3
28,메이즈 러너: 데스 큐어,2299732,미국,2018,01,3
29,맘마미아!2,2293836,미국,2018,08,3
30,레디 플레이어 원,2254430,미국,2018,03,3
31,명당,2087474,한국,2018,09,3
32,협상,1967721,한국,2018,09,3
33,마약왕,1813594,한국,2018,12,3
34,쥬만지: 새로운 세계,1708672,미국,2018,01,3
35,창궐,1599290,한국,2018,10,4
36,성난황소,1593386,한국,2018,11,4
37,도어락,1559616,한국,2018,12,3
38,리틀 포레스트,1505560,한국,2018,02,3
39,골든슬럼버,1387508,한국,2018,02,3
40,램페이지,1385511,미국,2018,04,4
41,궁합,1340117,한국,2018,02,3
42,오션스8,1335829,미국,2018,06,3
43,사라진 밤,1315726,한국,2018,03,3
44,스윙키즈,1258811,한국,2018,12,3
45,바람 바람 바람,1194229,한국,2018,04,4
46,PMC: 더 벙커,1179031,한국,2018,12,3
47,범블비,1167150,미국,2018,12,2
48,챔피언,1128774,한국,2018,05,2
49,퍼시픽 림: 업라이징,1077235,미국,2018,03,3
50,몬스터 호텔 3,1072220,미국,2018,08,3
51,더 넌,1011580,미국,2018,09,3
52,스카이스크래퍼,1002858,미국,2018,07,3
53,염력,990104,한국,2018,01,3
54,월요일이 사라졌다,903175,영국,2018,02,4
55,인랑,897548,한국,2018,07,3
56,극장판 헬로카봇 : 백악기 시대,879449,한국,2018,08,3
57,레슬러,771141,한국,2018,05,3
58,상류사회,768442,한국,2018,08,3
59,물괴,723622,한국,2018,09,3
60,미쓰백,722182,한국,2018,10,4
61,신비아파트: 금빛 도깨비와 비밀의 동굴,678091,한국,2018,07,3
62,퍼스트맨,665364,미국,2018,10,4
63,스파이더맨: 뉴 유니버스,639934,미국,2018,12,3
64,인시디어스4: 라스트 키,554521,미국,2018,01,3
65,"그날, 바다",540596,한국,2018,04,4
66,툼레이더,540410,미국,2018,03,4
67,페르디난드,533776,미국,2018,01,3
68,버닝,528153,한국,2018,05,4
69,7년의 밤,528007,한국,2018,03,3
70,메가로돈,527331,미국,2018,08,3
71,콰이어트 플레이스,526073,미국,2018,04,4
72,호두까기 인형과 4개의 왕국,513767,미국,2018,12,4
73,셰이프 오브 워터: 사랑의 모양,506487,미국,2018,02,4
74,곰돌이 푸 다시 만나 행복해,492201,미국,2018,10,3
75,변산,490033,한국,2018,07,3
76,그린치,485064,미국,2018,12,3
77,스타 이즈 본,483852,미국,2018,10,2
78,동네사람들,461693,한국,2018,11,3
79,원더풀 고스트,450374,한국,2018,09,3
80,흥부: 글로 세상을 바꾼 자,416303,한국,2018,02,3
81,명탐정 코난 : 제로의 집행인,396230,일본,2018,08,3
82,피터 래빗,388300,미국,2018,05,3
83,점박이 한반도의 공룡2 : 새로운 낙원,375312,한국,2018,12,2
84,패딩턴 2,338899,프랑스,2018,02,4
85,허스토리,336822,한국,2018,06,3
86,미드나잇 선,326086,미국,2018,06,4
87,번 더 스테이지: 더 무비,315010,한국,2018,11,4
88,덕구,313883,한국,2018,04,4
89,트루스 오어 데어,310956,미국,2018,05,2
90,커뮤터,286042,영국,2018,01,3
91,후드,284601,미국,2018,11,3
92,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,277206,일본,2018,12,3
93,모털 엔진,267896,미국,2018,12,3
94,바울,267785,미국,2018,10,3
95,나를 차버린 스파이,264766,미국,2018,08,3
96,명탐정 코난:감벽의 관,242164,일본,2018,02,3
97,아이 필 프리티,240297,미국,2018,06,3
98,시카리오: 데이 오브 솔다도,229542,미국,2018,06,3
99,치즈인더트랩,229005,한국,2018,03,3
100,12 솔져스,223740,미국,2018,01,3
101,1급기밀,217803,한국,2018,01,3
102,50가지 그림자: 해방,217785,미국,2018,02,3
103,속닥속닥,217444,한국,2018,07,5
104,벽 속에 숨은 마법시계,215029,미국,2018,10,3
105,허리케인 하이스트,214949,미국,2018,03,3
106,한 솔로: 스타워즈 스토리,213980,미국,2018,05,4
107,콜 미 바이 유어 네임,198229,이탈리아,2018,03,4
108,나미야 잡화점의 기적,191880,일본,2018,02,3
109,업그레이드,190387,미국,2018,09,4
110,런닝맨 : 풀룰루의 역습,186912,한국,2018,12,3
111,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,183421,일본,2018,06,3
112,극장판 도라에몽: 진구의 보물섬,182796,일본,2018,08,3
113,유전,177145,미국,2018,06,4
114,더 프레데터,170878,미국,2018,09,3
115,어느 가족,170743,일본,2018,07,4
116,극장판 포켓몬스터 모두의 이야기,169677,일본,2018,12,3
117,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,157689,일본,2018,09,4
118,크레이지 리치 아시안,154297,미국,2018,10,4
119,다운사이징,150215,미국,2018,01,4
120,나를 기억해,140975,한국,2018,04,4
121,빅샤크: 매직체인지,138705,중국,2018,06,3
122,더 포스트,137841,미국,2018,02,3
123,독전: 익스텐디드 컷,137775,한국,2018,07,3
124,얼리맨,122359,영국,2018,05,4
125,부탁 하나만 들어줘,115024,미국,2018,12,3
126,"안녕, 나의 소녀",111541,대만,2018,05,3
127,당갈,109441,인도,2018,04,3
128,할로윈,108780,미국,2018,10,3
129,레드 스패로,108344,미국,2018,02,3
130,레이디 버드,101781,미국,2018,04,3
131,게이트,101173,한국,2018,02,3
132,미니특공대X,99952,한국,2018,03,4
133,여중생A,97849,한국,2018,06,3
134,쓰리 빌보드,97480,미국,2018,03,4
135,마야2,96989,독일,2018,02,4
136,커다랗고 커다랗고 커다란 배,95324,덴마크,2018,05,4
137,플로리다 프로젝트,93936,미국,2018,03,3
138,베일리 어게인,93691,미국,2018,11,4
139,루이스,93000,독일,2018,09,4
140,셜록 놈즈,91036,미국,2018,10,3
141,신은 죽지 않았다 3: 어둠 속의 빛,86295,미국,2018,07,4
142,출국,81880,한국,2018,11,3
143,호텔 아르테미스,77794,미국,2018,07,3
144,올 더 머니,70295,미국,2018,02,4
145,마일22,69834,미국,2018,08,4
146,여곡성,67368,한국,2018,11,4
147,레오나르도 다 빈치,64405,이탈리아,2018,04,4
148,번개맨과 신비의 섬,60561,한국,2018,04,4
149,킬링 디어,59588,미국,2018,07,4
150,어드리프트:우리가 함께한 바다,59009,미국,2018,09,4
151,소공녀,58879,한국,2018,03,4
